Country name,Region,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source
Luxembourg,Europe and Central Asia,EUR,3814,3987,4084,4123,4224,4291,4353,4455,4577,4727,4772,4919,5078,5167,5196,5473,STATEC Luxembourg
Malta,Europe and Central Asia,EUR,1057,1083,1134,1152,1206,1254,1283,1319,1340,1390,1456,1496,1564,1633,1576,1646,Malta National Statistics Office 
Netherlands,Europe and Central Asia,EUR,2027,2068,2136,2229,2245,2266,2302,2337,2359,2405,2436,2460,2508,2575,2692,2761,Statistics Netherlands
New Zealand,Asia and the Pacific,NZD,3198,3436,3575,3640,3796,3887,3991,4151,4286,4403,4645,4788,4931,5040,5239,5404,Statistics New Zealand
Norway,Europe and Central Asia,NOK,30539,32263,34100,35300,36700,38100,39600,41000,42300,42600,43640,44660,46010,47720,48750,50790,Statistics Norway
Poland,Europe and Central Asia,PLN,2476,2673,2942,3102,3224,3404,3530,3659,3777,3908,4052,4284,4590,4918,5167,5663,Central Statistical Office of Poland
Portugal,Europe and Central Asia,EUR,934,963,1008,1034,1076,1084,1096,1094,1093,1141,1192,1211,1233,1273,1311,1357,Gabinete de Estratégia e Planeamento (GEP) do Ministério do Trabalho e da Solidariedade Social
Romania,Europe and Central Asia,RON,1146,1396,1761,1845,1902,1980,2063,2163,2328,2555,2809,3223,4357,4853,5213,5535,Romanian National Institute of Statistic
Slovakia,Europe and Central Asia,EUR,623,669,723,745,769,786,805,824,858,883,912,954,1013,1092,1133,1211,Statistical Office of the Slovak Republic
Slovenia,Europe and Central Asia,EUR,1213,1285,1391,1439,1495,1525,1525,1523,1546,1556,1585,1627,1682,1754,1858,1970,Statistical Office of the Republic of Slovenia
Spain,Europe and Central Asia,EUR,1647,1713,1800,1858,1875,1895,1884,1884,1882,1902,1898,1900,1919,1955,1904,2023,Spain National Statistics Institute
Sweden,Europe and Central Asia,SEK,25000,25800,27100,27900,28400,29000,29800,30600,31400,32000,32800,33700,34600,35300,36100,37100,Statistics Sweden 
Switzerland,Europe and Central Asia,CHF,6617,,6879,,7030,,7562,,7308,,7491,,7603,,7825,,Swiss Federal Statistical Office
United Kingdom,Europe and Central Asia,GBP,1907,1964,2051,2084,2113,2111,2129,2172,2173,2198,2275,2331,2405,2477,2495,2582,United Kingdom National Statistics
United States,Americas,USD,,3119,3202,3250,3335,3428,3508,3575,3661,3745,3818,3927,4058,4173,4398,4603,US Bureau of Labor Statistics
